customer_id,tenure_months,monthly_logins,avg_session_time,usage_growth_rate,support_tickets,csat_score,nps_score,payment_failures,contract_type,customer_segment,weekly_active_days,features_used,avg_resolution_time,escalations,last_login_days_ago,total_revenue,price_increase_last_3m,email_open_rate,marketing_click_rate,churn
CUST_000001,8,28,11.38,0.2234,2,6.8,79.6,0,Multi-year,SMB,7,14,12.46,1,0.0,34353.22,0,0.5339,0.2995,0
CUST_000002,54,31,12.04,0.1306,1,8.9,16.1,0,Annual,SMB,6,9,33.15,0,0.0,57647.4,1,0.816,0.1037,0
CUST_000003,23,31,27.82,0.2018,1,6.6,28.5,1,Annual,Mid-Market,6,8,20.73,0,0.0,10991.83,0,0.2664,0.1296,0
CUST_000004,16,29,34.43,0.1479,2,9.5,44.0,0,Annual,Mid-Market,6,4,27.11,0,0.0,13620.96,0,0.7216,0.288,0
CUST_000005,3,31,7.78,-0.3888,3,7.6,10.1,0,Annual,SMB,4,7,33.54,1,20.4,14976.63,1,0.3625,0.0916,0
CUST_000006,3,27,15.69,-0.0905,1,7.6,50.5,0,Monthly,SMB,7,10,3.41,0,0.8,27776.79,0,0.7179,0.3371,0
CUST_000007,1,28,17.9,-0.1156,4,8.3,73.1,1,Annual,SMB,4,9,21.04,1,1.9,8280.25,0,0.5003,0.0841,0
CUST_000008,36,28,19.74,-0.2775,0,9.0,16.9,0,Monthly,Enterprise,7,9,7.85,0,0.0,3739.2,0,0.62,0.2732,0
CUST_000009,16,25,21.09,-0.159,4,6.3,30.1,0,Annual,SMB,5,9,12.76,1,8.5,32342.59,0,0.7322,0.079,0
CUST_000010,22,27,15.6,0.0503,2,7.4,33.9,0,Monthly,SMB,7,8,15.75,0,5.8,13232.8,0,0.9007,0.1948,0
CUST_000011,1,30,16.41,0.4034,3,6.2,6.7,0,Monthly,SMB,7,1,20.04,1,12.5,3963.76,1,0.3842,0.0899,1
CUST_000012,63,27,20.13,-0.1883,5,7.0,8.2,1,Monthly,Mid-Market,3,7,33.65,1,6.5,5831.84,0,0.5426,0.0767,0
CUST_000013,32,33,8.89,-0.2322,2,8.6,-11.5,1,Annual,Mid-Market,6,14,18.74,0,0.0,55335.86,0,0.5306,0.1242,0
CUST_000014,4,25,47.98,-0.0999,0,9.8,32.2,0,Monthly,Enterprise,5,4,2.34,0,0.4,42134.55,0,0.5785,0.2802,0
CUST_000015,3,23,27.82,0.1344,1,4.6,36.3,0,Annual,Mid-Market,4,10,18.51,0,0.0,19717.25,1,0.2926,0.0313,0
CUST_000016,3,21,32.67,0.3559,1,9.1,37.8,0,Monthly,SMB,1,3,9.13,1,3.1,9318.07,0,0.5699,0.1903,0
CUST_000017,6,30,21.12,0.0284,3,8.2,42.6,0,Multi-year,Mid-Market,7,9,25.28,1,2.3,11389.64,0,0.4612,0.1639,0
CUST_000018,13,22,62.84,-0.3115,2,5.4,51.3,0,Annual,Enterprise,5,12,41.62,1,26.3,9200.94,0,0.1951,0.0936,0
CUST_000019,10,24,2.1,-0.2583,0,5.1,33.4,2,Monthly,Mid-Market,6,5,17.25,4,8.5,6830.79,0,0.2282,0.1276,1
CUST_000020,6,24,18.61,0.0971,5,6.8,19.8,2,Annual,SMB,7,7,30.47,1,0.0,11257.41,0,0.8286,0.3889,0
